size: 3000, threads: 16, time: 0.00224294, tot = 40450470948507, min = 0, max = 8999998 
size: 3000, threads: 32, time: 0.00274615, tot = 40443557185810, min = 0, max = 8999999 
size: 4000, threads: 1, time: 0.0156145, tot = 127885578462682, min = 0, max = 15999999 
size: 4000, threads: 2, time: 0.00817654, tot = 127851764860778, min = 2, max = 15999998 
size: 4000, threads: 4, time: 0.00468342, tot = 127811901061296, min = 0, max = 15999999 
size: 4000, threads: 8, time: 0.00449641, tot = 127861628039429, min = 0, max = 15999999 
size: 4000, threads: 16, time: 0.00276435, tot = 127830445429797, min = 0, max = 15999998 
size: 4000, threads: 32, time: 0.00423466, tot = 127821493284899, min = 0, max = 15999999 
size: 5000, threads: 1, time: 0.0230197, tot = 312139938395367, min = 0, max = 24999999 
size: 5000, threads: 2, time: 0.0124046, tot = 312195157084443, min = 0, max = 24999998 
size: 5000, threads: 4, time: 0.00679709, tot = 312168894932275, min = 2, max = 24999998 
size: 5000, threads: 8, time: 0.00588798, tot = 312236032134948, min = 0, max = 24999997 
size: 5000, threads: 16, time: 0.00423373, tot = 312209806578055, min = 0, max = 24999999 
size: 5000, threads: 32, time: 0.00570379, tot = 312110534417017, min = 2, max = 24999999 
size: 6000, threads: 1, time: 0.03333, tot = 645412161854849, min = 0, max = 35999999 
size: 6000, threads: 2, time: 0.0174429, tot = 645586740670573, min = 1, max = 35999999 
size: 6000, threads: 4, time: 0.0092813, tot = 645593832564894, min = 0, max = 35999999 
size: 6000, threads: 8, time: 0.00711575, tot = 645616771010399, min = 0, max = 35999998 
size: 6000, threads: 16, time: 0.0082072, tot = 645700092907859, min = 1, max = 35999997 
size: 6000, threads: 32, time: 0.0067013, tot = 645626652788115, min = 1, max = 35999997 
size: 7000, threads: 1, time: 0.0450261, tot = 1196510969875931, min = 1, max = 48999998 
size: 7000, threads: 2, time: 0.024507, tot = 1196463821557181, min = 0, max = 48999999 
size: 7000, threads: 4, time: 0.012511, tot = 1196646757968874, min = 0, max = 48999996 
size: 7000, threads: 8, time: 0.0094766, tot = 1196459536976915, min = 1, max = 48999997 
size: 7000, threads: 16, time: 0.00663424, tot = 1196670583723265, min = 0, max = 48999999 
size: 7000, threads: 32, time: 0.00891863, tot = 1196588645140019, min = 1, max = 48999999 
size: 8000, threads: 1, time: 0.0581591, tot = 2033031487595783, min = 0, max = 63999999 
size: 8000, threads: 2, time: 0.0308082, tot = 2032826284023372, min = 1, max = 63999998 
size: 8000, threads: 4, time: 0.015709, tot = 2032711610940654, min = 0, max = 63999997 
size: 8000, threads: 8, time: 0.0142767, tot = 2033013212516215, min = 0, max = 63999999 
size: 8000, threads: 16, time: 0.0101364, tot = 2032973171442802, min = 3, max = 63999999 
size: 8000, threads: 32, time: 0.0107032, tot = 2032711422689935, min = 1, max = 63999999 
size: 9000, threads: 1, time: 0.0709212, tot = 3249187196626949, min = 0, max = 80999999 
size: 9000, threads: 2, time: 0.0363125, tot = 3249663001007930, min = 1, max = 80999998 
